,job_title,frequency,job_category
73453,School assistant,6,education assistant
83286,Sales assistant ,6,sales assistant
4132,Assistant educator,6,Unclassified
44271,General assistant ,6,education assistant
121376,Cashier ,6,cashier
86820,General assistance,6,education assistant
73448,Administration assistant ,6,admin assistant clerk
128900,Selling ,6,sales assistant
77162,Learner support agent,6,Unclassified
50884,cleaner,6,cleaner
127032,Fieldworker,6,Unclassified
42979,Team member,6,Unclassified
2924,Assistant teacher,6,tutor
44686,Cashier ,6,cashier
6872,Cashier ,6,cashier
50759,Delivery,6,food preparation
45273,General school assistant,6,education assistant
43671,Cashier,6,cashier
42335,General school assistant ,6,education assistant
50719,Salon,6,Unclassified
46726,Educational Assistant,6,education assistant
50816,Painting,6,maintenance
4982,General worker,6,general worker
78099,Education assistant ,6,education assistant
43588,Assistant teacher,6,tutor
51196,Shop assistance ,6,sales assistant
7268,Cashier ,6,cashier
50612,Hairdresser ,6,Unclassified
7943,Teaching Assistant,6,tutor
77288,Till Operator ,6,cashier
41704,Educator assistant ,6,education assistant
10776,Shelf packer,6,picker packer
78380,EA,6,Unclassified
7064,Teachers assistant,6,tutor
5428,Sales Assistant ,6,sales assistant
42863,Security officer,6,security
7084,Youth Brigade,6,covid19 screener
9812,General school assistant,6,education assistant
46592,Teachers assistant ,6,tutor
129239,Driving ,6,Unclassified
78444,Merchandiser,6,stockroom assistant
51197,Teaching ,6,tutor
9317,Assistant teacher ,6,tutor
73194,Assistant teacher ,6,tutor
50542,Selling goods,6,sales assistant
41733,Education assistant ,6,education assistant
7973,Ambassador ,6,brand promoter
120607,Teacher assistant ,6,tutor
3093,Cashier,6,cashier
50595,Admin clerk ,6,admin assistant clerk
4323,Financial advisor,6,advisers/consultants
6415,Sales consultant ,6,sales assistant
48491,Financial advisor ,6,advisers/consultants
9402,Packer,6,picker packer
8818,Merchandise ,6,stockroom assistant
4957,SCREENER,6,covid19 screener
45119,Mobile clerk,6,admin assistant clerk
10831,Educator assistant,6,education assistant
6917,Cashier,6,cashier
42187,EA,6,Unclassified
73521,Teacher assistant,6,tutor
74241,Assistant teacher,6,tutor
129122,General assistance,6,education assistant
10966,Intern,6,intern
6939,Store associate,6,sales assistant
129131,Practitioner ,6,Unclassified
50513,Catering,6,Unclassified
5889,Sales associate ,6,sales assistant
50511,Baby sitting,6,childcare
50997,driver,6,driver
69153,General Assistant ,6,education assistant
5778,Screener,6,covid19 screener
7916,Customer assistance ,6,call centre agent
73269,Education assistant ,6,education assistant
123073,Cleaner,6,cleaner
73788,General assistant,6,education assistant
6622,Security officer,6,security
2614,General worker,6,general worker
78384,General assistance,6,education assistant
73318,School Assistant ,6,education assistant
85086,Cleaner,6,cleaner
6949,Teacher's assistant,6,tutor
9136,Cleaner,6,cleaner
42173,Crew,6,Unclassified
